DATA_start,BOVESPA_start,CDI_ajustado_start,DATA_end,BOVESPA_end,CDI_ajustado_end,BOVESPA_diff,BOVESPA_pct,CDI_ajustado_diff,CDI_ajustado_pct,winner
1989-12-29,61615.0000,1.0000,2016-01-28,38630.0000,20921096.5795,-22985.0000,-0.3730,20921095.5795,20921095.5795,CDI_ajustado_pct
1990-01-02,63736.0000,1.0266,2016-02-01,40570.0000,20943053.1703,-23166.0000,-0.3635,20943052.1438,20401234.9226,CDI_ajustado_pct
1990-01-03,67341.0000,1.0538,2016-02-02,38596.0000,20954040.1054,-28745.0000,-0.4269,20954039.0517,19885125.3376,CDI_ajustado_pct
1990-01-04,71622.0000,1.0772,2016-02-03,39588.0000,20965032.8044,-32034.0000,-0.4473,20965031.7272,19462394.6068,CDI_ajustado_pct
1990-01-05,75638.0000,1.1014,2016-02-04,40821.0000,20976031.2703,-34817.0000,-0.4603,20976030.1689,19045493.7467,CDI_ajustado_pct
1990-01-08,82315.0000,1.1262,2016-02-05,40592.0000,20987035.5060,-41723.0000,-0.5069,20987034.3798,18635199.3799,CDI_ajustado_pct
1990-01-11,88891.0000,1.2042,2016-02-10,40376.0000,20998045.5147,-48515.0000,-0.5458,20998044.3106,17438006.5056,CDI_ajustado_pct
1990-01-12,8779.0000,1.2324,2016-02-11,39318.0000,21009061.2994,30539.0000,3.4786,21009060.0670,17047684.7621,CDI_ajustado_pct
1990-01-15,8699.0000,1.2613,2016-02-12,39808.0000,21020082.8630,31109.0000,3.5762,21020081.6017,16665421.1948,CDI_ajustado_pct
1990-01-16,8810.0000,1.2878,2016-02-15,40092.0000,21031110.2087,31282.0000,3.5507,21031108.9210,16331573.0208,CDI_ajustado_pct
1990-01-17,8926.0000,1.3151,2016-02-16,40947.0000,21042143.3394,32021.0000,3.5874,21042142.0244,16000982.1293,CDI_ajustado_pct
1990-01-18,9643.0000,1.3433,2016-02-17,41630.0000,21053182.2583,31987.0000,3.3171,21053180.9150,15673224.8927,CDI_ajustado_pct
1990-01-19,10194.0000,1.3730,2016-02-18,41477.0000,21064226.9682,31283.0000,3.0688,21064225.5952,15342268.0116,CDI_ajustado_pct
1990-01-22,10637.0000,1.4049,2016-02-19,41543.0000,21075277.4723,30906.0000,2.9055,21075276.0674,15000826.5393,CDI_ajustado_pct
1990-01-23,10591.0000,1.4381,2016-02-22,43234.0000,21086333.7736,32643.0000,3.0821,21086332.3355,14662378.9206,CDI_ajustado_pct
1990-01-24,10368.0000,1.4733,2016-02-23,42520.0000,21097395.8752,32152.0000,3.1011,21097394.4019,14319979.2256,CDI_ajustado_pct
1990-01-25,10368.0000,1.5105,2016-02-24,42084.0000,21108463.7800,31716.0000,3.0590,21108462.2696,13974866.8641,CDI_ajustado_pct
1990-01-26,10489.0000,1.5498,2016-02-25,41887.0000,21119537.4912,31398.0000,2.9934,21119535.9415,13627618.8616,CDI_ajustado_pct
1990-01-29,10045.0000,1.5910,2016-02-26,41593.0000,21130617.0118,31548.0000,3.1407,21130615.4208,13281534.5847,CDI_ajustado_pct
1990-01-30,10185.0000,1.6347,2016-02-29,42793.0000,21141702.3448,32608.0000,3.2016,21141700.7100,12932719.4504,CDI_ajustado_pct
1990-01-31,10049.0000,1.6823,2016-03-01,44121.0000,21152793.4932,34072.0000,3.3906,21152791.8109,12573601.8071,CDI_ajustado_pct
