BOVESPA_pct,CDI_ajustado_pct,window
0.3906,0.6094,1
0.3244,0.6756,2
0.2771,0.7229,3
0.2466,0.7534,4
0.2356,0.7644,5
0.2190,0.7810,6
0.2445,0.7555,7
0.2468,0.7532,8
0.2204,0.7796,9
0.2237,0.7763,10
0.1900,0.8100,11
0.1392,0.8608,12
0.0751,0.9249,13
0.0502,0.9498,14
0.0787,0.9213,15
0.0837,0.9163,16
0.0262,0.9738,17
0.0011,0.9989,18
0.0008,0.9992,19
0.0044,0.9956,20
0.0058,0.9942,21
0.0000,1.0000,22
0.0000,1.0000,23
0.0000,1.0000,24
0.0000,1.0000,25
0.0000,1.0000,26
0.0000,1.0000,27
0.0000,1.0000,28
0.0000,1.0000,29
0.0000,1.0000,30
